Arc Length (m),Radius (m),Curvature (1/m),Angle (deg),Coordinates
3218.076250,3807.079402,0.00026267,48.431400,"[<QgsPointXY: POINT(8107715.92271156888455153 2153651.25408540992066264)>, <QgsPointXY: POINT(8107737.93277201801538467 2154690.97735166782513261)>, <QgsPointXY: POINT(8107833.30970063246786594 2155203.10013531614094973)>, <QgsPointXY: POINT(8108024.06355785764753819 2155676.4376445054076612)>, <QgsPointXY: POINT(8108273.51090961508452892 2156041.14811853459104896)>, <QgsPointXY: POINT(8108647.68193725124001503 2156638.66719343513250351)>]"
1589.427840,2645.248493,0.00037804,34.426825,"[<QgsPointXY: POINT(8111758.4371474115177989 2161384.54787156218662858)>, <QgsPointXY: POINT(8111912.50757055729627609 2161632.93312482954934239)>, <QgsPointXY: POINT(8112040.89958984311670065 2161823.10521905543282628)>, <QgsPointXY: POINT(8112319.69368886481970549 2162184.04918382968753576)>, <QgsPointXY: POINT(8112631.50287856347858906 2162416.91979805659502745)>, <QgsPointXY: POINT(8112818.58839238155633211 2162537.23737010266631842)>]"
736.764839,835.725498,0.00119657,50.511221,"[<QgsPointXY: POINT(8114351.95593701209872961 2163204.81930351862683892)>, <QgsPointXY: POINT(8114557.38316787127405405 2163406.65089377528056502)>, <QgsPointXY: POINT(8114638.0867228526622057 2163577.43310017697513103)>, <QgsPointXY: POINT(8114700.44856079015880823 2163829.72773038502782583)>]"
454.844020,577.456060,0.00173173,45.130088,"[<QgsPointXY: POINT(8114707.78524760715663433 2163860.77960258675739169)>, <QgsPointXY: POINT(8114762.81039872951805592 2164054.85492326086387038)>, <QgsPointXY: POINT(8114920.54916528146713972 2164252.81373880431056023)>]"
2227.849513,4236.940597,0.00023602,30.127015,"[<QgsPointXY: POINT(8115371.75540449190884829 2164613.80263170460239053)>, <QgsPointXY: POINT(8115922.00691572204232216 2164885.51910749869421124)>, <QgsPointXY: POINT(8116464.92174013610929251 2165265.92853217525407672)>, <QgsPointXY: POINT(8116743.71583915874361992 2165522.1268155206926167)>, <QgsPointXY: POINT(8117125.22355361189693213 2165949.13143406761810184)>]"
3899.060882,3545.080335,0.00028208,63.016832,"[<QgsPointXY: POINT(8117249.94722949154675007 2166042.2973207700997591)>, <QgsPointXY: POINT(8117792.86205390561372042 2166694.47099392954260111)>, <QgsPointXY: POINT(8118071.65615292824804783 2167082.6799685969017446)>, <QgsPointXY: POINT(8118321.10350468661636114 2167843.59199249977245927)>, <QgsPointXY: POINT(8118335.77687831968069077 2168853.01094756415113807)>, <QgsPointXY: POINT(8118291.75675742048770189 2169613.99213291890919209)>]"
2923.359653,2829.936649,0.00035336,59.187251,"[<QgsPointXY: POINT(8118306.43013105448335409 2168790.89134739572182298)>, <QgsPointXY: POINT(8118321.10350468661636114 2169924.60524645866826177)>, <QgsPointXY: POINT(8118482.51061464846134186 2170406.06536827003583312)>, <QgsPointXY: POINT(8119230.85266992170363665 2171446.6811661384999752)>]"
1527.639055,2919.643850,0.00034251,29.978749,"[<QgsPointXY: POINT(8120096.5817142566666007 2172642.68151084193959832)>, <QgsPointXY: POINT(8120316.68231874890625477 2172968.87619035877287388)>, <QgsPointXY: POINT(8120624.82316503766924143 2173528.07980430778115988)>, <QgsPointXY: POINT(8120742.2101540993899107 2174009.6291426895186305)>]"
2105.162547,3811.661706,0.00026235,31.644185,"[<QgsPointXY: POINT(8120580.80304413940757513 2173512.54615334188565612)>, <QgsPointXY: POINT(8120859.59714316297322512 2174289.24391225911676884)>, <QgsPointXY: POINT(8121255.77823124919086695 2174879.55497497785836458)>, <QgsPointXY: POINT(8121622.61257206834852695 2175314.53250075271353126)>]"
2867.870319,3439.446743,0.00029074,47.774214,"[<QgsPointXY: POINT(8122048.14040741976350546 2175733.98434189148247242)>, <QgsPointXY: POINT(8122620.40197909902781248 2176355.41113333543762565)>, <QgsPointXY: POINT(8122943.21619902085512877 2176588.45130872167646885)>, <QgsPointXY: POINT(8123368.74403437320142984 2176759.34921557269990444)>, <QgsPointXY: POINT(8124234.47307870909571648 2177023.46712245140224695)>, <QgsPointXY: POINT(8124483.92043046560138464 2177101.14954384695738554)>]"
